Year,Team,Player,ast,stl,blk,3p%,3pA,2p%,2pA,MP,WS
1950,Minneapolis Lakers,Paul Walther,0.5,None,None,None,None,.400,3.6,None,0.8
1950,Minneapolis Lakers,Arnie Ferrin,1.5,None,None,None,None,.333,6.3,None,2.6
1950,Minneapolis Lakers,Normie Glick,0.0,None,None,None,None,1.000,1.0,None,0.1
1950,Minneapolis Lakers,Bud Grant,0.5,None,None,None,None,.365,3.3,None,0.5
1950,Minneapolis Lakers,Bob Harrison,2.0,None,None,None,None,.359,5.3,None,3.5
1949,Minneapolis Lakers,Jack Tingle,0.5,None,None,None,None,.167,3.0,None,-0.1
1949,Minneapolis Lakers,Don Carlson,3.1,None,None,None,None,.334,11.5,None,2.8
1949,Minneapolis Lakers,Jack Dwan,2.2,None,None,None,None,.318,6.3,None,1.2
1949,Minneapolis Lakers,Ray Ellefson,0.0,None,None,None,None,.200,1.7,None,-0.1
1949,Minneapolis Lakers,Arnie Ferrin,1.6,None,None,None,None,.344,8.0,None,2.6
1948,Baltimore Bullets,Connie Simmons,0.5,None,None,None,None,.302,13.8,None,0.8
1948,Baltimore Bullets,Mike Bloom,0.7,None,None,None,None,.272,13.9,None,2.4
1948,Baltimore Bullets,Herm Fuetsch,0.4,None,None,None,None,.300,3.3,None,0.9
1948,Baltimore Bullets,Elmer Gainer,0.6,None,None,None,None,.111,1.8,None,0.0
1948,Baltimore Bullets,Kleggie Hermsen,1.0,None,None,None,None,.277,15.9,None,2.9
1947,Philadelphia Warriors,Fred Sheffield,0.2,None,None,None,None,.199,6.6,None,-0.5
1947,Philadelphia Warriors,Jerry Fleishman,0.7,None,None,None,None,.261,6.3,None,2.1
1947,Philadelphia Warriors,Joe Fulks,0.4,None,None,None,None,.305,26.0,None,16.3
1947,Philadelphia Warriors,Matt Guokas,0.2,None,None,None,None,.269,2.2,None,1.1
1947,Philadelphia Warriors,Art Hillhouse,0.7,None,None,None,None,.291,6.9,None,5.4
